Private Entity,External URI,Confidence
David Fincher,http://www.wikidata.org/entity/Q184903,0.99
Christopher Nolan,http://www.wikidata.org/entity/Q25191,0.99
Joaquin Phoenix,http://www.wikidata.org/entity/Q185140,0.99
Tom Hanks,http://www.wikidata.org/entity/Q2263,0.99
John Travolta,http://www.wikidata.org/entity/Q80938,0.99
Henry Fonda,http://www.wikidata.org/entity/Q19155,0.99
Gladiator,http://www.wikidata.org/entity/Q3282906,0.99
Interstellar,http://www.wikidata.org/entity/Q41872,0.99
Tom Hardy,http://www.wikidata.org/entity/Q208026,0.99
Heath Ledger,http://www.wikidata.org/entity/Q40572,0.99
James Cameron,http://www.wikidata.org/entity/Q42574,0.99
The Martian,http://www.wikidata.org/entity/Q18547944,0.99
Movie,http://www.wikidata.org/entity/Q11424,0.99
Person,http://www.wikidata.org/entity/Q5,0.99
Bong Joon Ho,http://www.wikidata.org/entity/Q495980,0.99
Lee Sun Kyun,http://www.wikidata.org/entity/Q489681,0.99
The Revenant,http://www.wikidata.org/entity/Q18002795,0.99
The God Father,http://www.wikidata.org/entity/Q99960893,0.99
Brad Pitt,http://www.wikidata.org/entity/Q35332,0.99
Drama,http://www.wikidata.org/entity/Q130232,0.99
Titanic,http://www.wikidata.org/entity/Q25173,0.99
Kate Winslet,http://www.wikidata.org/entity/Q202765,0.99
Sam Worthington,http://www.wikidata.org/entity/Q82085,0.99
Dunkirk,http://www.wikidata.org/entity/Q21935651,0.99
Pulp Fiction,http://www.wikidata.org/entity/Q104123,0.99
Anne Hathaway,http://www.wikidata.org/entity/Q36301,0.99
Inception,http://www.wikidata.org/entity/Q3406134,0.99
Alejandro Inarritu,http://www.wikidata.org/entity/Q55215,0.99
The Dark Knight,http://www.wikidata.org/entity/Q2695156,0.99
Action,http://www.wikidata.org/entity/Q188473,0.99
Francis Ford Coppola,http://www.wikidata.org/entity/Q56094,0.99
John Lasseter,http://www.wikidata.org/entity/Q269214,0.99
Song Kang Ho,http://www.wikidata.org/entity/Q484400,0.99
Russell Crowe,http://www.wikidata.org/entity/Q129817,0.99
Genre,http://www.wikidata.org/entity/Q188451,0.99
Parasite,http://www.wikidata.org/entity/Q2813832,0.99
Sidney Lumet,http://www.wikidata.org/entity/Q51559,0.99
Fight Club,http://www.wikidata.org/entity/Q190050,0.99
Joseph Gordon Levitt,http://www.wikidata.org/entity/Q177311,0.99
Sci Fi,http://www.wikidata.org/entity/Q24925,0.99
Romance,http://www.wikidata.org/entity/Q1054574,0.99
Marlon Brando,http://www.wikidata.org/entity/Q34012,0.99
Al Pacino,http://www.wikidata.org/entity/Q41163,0.99
Quentin Tarantino,http://www.wikidata.org/entity/Q3772,0.99
Edward Norton,http://www.wikidata.org/entity/Q110179736,0.99
Matt Damon,http://www.wikidata.org/entity/Q175535,0.99
War,http://www.wikidata.org/entity/Q1648786,0.99
Ridley Scott,http://www.wikidata.org/entity/Q56005,0.99
Thriller,http://www.wikidata.org/entity/Q44320,0.99
Toy Story,http://www.wikidata.org/entity/Q171048,0.99
Avatar,http://www.wikidata.org/entity/Q29387886,0.99
Leonardo Di Caprio,http://www.wikidata.org/entity/Q38111,0.99
Christian Bale,http://www.wikidata.org/entity/Q45772,0.99
Lee Cobb,http://www.wikidata.org/entity/Q348351,0.99
Zoe Saldana,http://www.wikidata.org/entity/Q190162,0.99
Tim Allen,http://www.wikidata.org/entity/Q208408,0.99
Crime,http://www.wikidata.org/entity/Q83267,0.99
Cillian Murphy,http://www.wikidata.org/entity/Q202589,0.99
Animation,http://www.wikidata.org/entity/Q202866,0.99
